CTD,Date,T-Surface,T-Bottom,S-Surface,S-Bottom
,5/11/2019,26.56767106,27.46134917,6.860027134,13.05043864
,5/12/2019,26.78178469,27.51476359,7.133983433,9.056555967
,5/13/2019,27.0820694,27.05946167,7.352467656,7.831098457
,5/14/2019,26.90657918,27.90668511,7.683661799,10.01169793
,5/15/2019,26.66239429,28.5922869,8.403737823,12.76242038
,5/16/2019,27.05084976,29.04798206,8.675440907,13.329024
,5/17/2019,27.57386446,29.68526729,9.375487844,12.68218529
,5/18/2019,27.73552513,29.35570161,9.814946016,11.31532176
,5/19/2019,27.47200537,27.47866527,9.689111988,9.690974156
,5/20/2019,27.69880954,27.56819685,8.85359929,9.698088288
,5/21/2019,27.61952909,28.19564064,8.001097202,9.616753419
,5/22/2019,27.82699386,27.77197274,8.112636367,8.405427953
,5/23/2019,28.27779301,28.67810901,7.015702705,9.434896151
,5/24/2019,28.72557561,29.89295395,5.658046146,10.54857484
,5/25/2019,29.47118656,30.3165768,5.180572033,11.21408308
,5/26/2019,30.01166717,30.46661321,5.056146999,11.21468409
,5/27/2019,29.84260805,30.6486965,5.260494332,11.47530806
,5/28/2019,29.67042144,31.18445659,5.57768784,8.974071284
,5/29/2019,29.39105638,31.2367808,5.23963366,8.336037874
,5/30/2019,29.49117557,31.39207276,5.082829614,8.043735762
,5/31/2019,29.64506475,29.42002948,5.0820418,5.304393689
,6/1/2019,29.95006108,29.8065021,5.327551206,6.696719925
,6/2/2019,30.34272552,30.36880302,5.069347322,8.439911803
,6/3/2019,30.99496285,30.95323825,5.453434825,8.481375694
,6/4/2019,31.00286444,31.5741233,5.966759324,8.695907156
,6/5/2019,30.69153674,32.26105324,6.918400725,8.766113559
,6/6/2019,30.11413638,31.78390749,7.551330109,9.550806801
,6/7/2019,29.37525082,29.38321908,8.060258269,8.054033478
,6/8/2019,29.34762025,29.32385174,8.150855601,8.336741686
,6/9/2019,29.65067466,29.63593737,8.532952706,10.83803419
,6/10/2019,29.69021908,30.1551954,8.785640875,13.85278988
,6/11/2019,29.93374809,30.44468466,13.59123222,15.23342176
,6/12/2019,30.33781044,30.88466374,13.91521951,14.92520257
,6/13/2019,29.9513007,29.77738094,13.5156554,13.71402633
,6/14/2019,29.62102,30.24497501,12.65882254,13.81933598
,6/15/2019,29.98579868,31.215535,13.90286462,15.57503716
,6/16/2019,30.58368826,30.38914617,13.83436092,14.36673518
,6/17/2019,30.42301003,30.46076401,14.07607043,14.42691886
,6/18/2019,30.03970218,30.1359055,14.56226762,14.71051764
,6/19/2019,29.71413461,29.68990366,14.41290343,14.4106284
,6/20/2019,29.98635149,29.9914821,14.22773703,14.2218374
,6/21/2019,30.23996218,30.23574797,13.59007184,13.58728286
,6/22/2019,30.42873184,30.38195666,13.0346849,13.0449901
,6/23/2019,30.63548875,30.59197315,13.14164686,13.16192361
,6/24/2019,30.70173271,30.71082067,13.74393559,13.75688863
,6/25/2019,30.99173037,30.67655738,14.74528325,15.2873108
,6/26/2019,31.30219634,31.34191775,13.08679382,17.80082218
,6/27/2019,31.70416943,32.0001657,13.32503577,19.54687961
,6/28/2019,31.42126973,32.68571234,16.09231412,19.92613236
,6/29/2019,30.73013941,33.18472099,16.22096785,19.69554973
,6/30/2019,30.71032723,33.30213563,16.70301525,18.89935716
